Date, Open, High, Low, Close, Shares Traded, Turnover
01-JAN-2013,2371.1,2411.65,2371.1,2409.5,141561654,1320.2
02-JAN-2013,2411.1,2437.05,2411.1,2424.95,180349271,1769.09
03-JAN-2013,2425.9,2444.5,2417.05,2439.15,181199790,1761.75
04-JAN-2013,2439.6,2448,2421.45,2446.4,240479227,1918.62
07-JAN-2013,2446.85,2470.85,2446.85,2456.15,267400824,2094.26
08-JAN-2013,2456.3,2467.7,2437.1,2465.3,222043767,1893.79
09-JAN-2013,2466.25,2486.45,2440.25,2446.85,286179152,2171.78
10-JAN-2013,2448.55,2466.8,2421.8,2437.4,256270240,2082.96
11-JAN-2013,2438,2449.1,2389.45,2395.2,203535913,1763.71
14-JAN-2013,2395.15,2451.55,2378.9,2446,193557317,1807.62
15-JAN-2013,2446.1,2461.25,2437.35,2449.9,195966267,1731.88
16-JAN-2013,2450.25,2458.75,2399.1,2404,215420948,2123.92
17-JAN-2013,2404.05,2426.6,2394.5,2417.5,167917153,1672.19
18-JAN-2013,2418.2,2433,2406.9,2412.65,182607441,1656.84
21-JAN-2013,2412.9,2432.55,2412.9,2428.35,164774716,1504.78
22-JAN-2013,2429.2,2449.2,2388.75,2395.25,208221876,1941.45
23-JAN-2013,2396.55,2407.25,2334.75,2362.9,285531441,2573.02
24-JAN-2013,2360.4,2360.6,2269.85,2279.1,414284123,3233.19
25-JAN-2013,2280.3,2351.3,2263.5,2348.7,315493686,2555.7
28-JAN-2013,2349.35,2357.9,2338.35,2343.3,187837426,1678.73
29-JAN-2013,2343.85,2367.15,2311.25,2315.05,274289796,2383.77
30-JAN-2013,2316.25,2329,2298.9,2304.2,222547639,1875.72
31-JAN-2013,2303.75,2328.6,2299.1,2324.85,325533135,2552.64
01-FEB-2013,2325.55,2339.8,2309.35,2315.85,178403776,1448.79
04-FEB-2013,2316.8,2333.2,2277.35,2280.4,175046732,1573.8
05-FEB-2013,2279.55,2279.55,2242.8,2256.35,180224405,1730
06-FEB-2013,2257.9,2282.85,2257.55,2265.9,173723032,1814.91
07-FEB-2013,2264.65,2284.1,2239.95,2248.8,170345387,1756.47
08-FEB-2013,2248.85,2255.7,2220,2226.8,164867151,1525.1
11-FEB-2013,2227.6,2236.85,2218.6,2225.75,132075037,1182.34
12-FEB-2013,2225.75,2227.5,2180,2203.3,319124292,1796.12
13-FEB-2013,2204.15,2223.9,2175.3,2178.85,217779628,1556.76
14-FEB-2013,2178.3,2178.35,2131,2139.8,228921691,1750.1
15-FEB-2013,2138.6,2155.8,2117.55,2152.25,172292019,1428.22
18-FEB-2013,2152.7,2176.35,2151.8,2169.05,130923097,1129.23
19-FEB-2013,2169.6,2207,2159.3,2202.4,158051405,1324.03
20-FEB-2013,2203.5,2215.85,2198,2200.25,226956630,1627.53
21-FEB-2013,2197.55,2197.55,2135,2138.65,169630602,1460.22
22-FEB-2013,2138.1,2160.05,2127.7,2145.4,150026637,1320.78
25-FEB-2013,2147.75,2160.45,2103.25,2120.05,187415098,1445.66
26-FEB-2013,2118.1,2118.1,2075.2,2079.45,159551040,1230.73
27-FEB-2013,2081.2,2113.35,2061.95,2102.25,199367406,1535.97
28-FEB-2013,2104.2,2126.6,2002.5,2011.55,335232201,2492.16
01-MAR-2013,2012.1,2061.95,2012.1,2043.45,193103908,1608.93
04-MAR-2013,2042.4,2042.4,1994.55,1999.9,411953512,1699.93
05-MAR-2013,2001.45,2049.25,2001.45,2046.1,307178980,1506.16
06-MAR-2013,2048.05,2086.35,2048.05,2071.8,264816912,1839.6
07-MAR-2013,2071.05,2090,2063.85,2086.8,170468881,1460.86
08-MAR-2013,2088.25,2115.05,2088.25,2110.3,190593844,1491.95
11-MAR-2013,2110.75,2126.35,2104.15,2112.15,157977809,1287.45
12-MAR-2013,2112.9,2122.2,2077.35,2093.45,171302251,1377.53
13-MAR-2013,2091.8,2091.8,2064.9,2067.35,167052427,1266.39
14-MAR-2013,2067.5,2105.3,2045.9,2103.15,185522590,1548.19
15-MAR-2013,2103.75,2123.4,2075.75,2078.7,181884154,1539.68
18-MAR-2013,2076.05,2076.05,2049.5,2063.65,126044132,975.88
19-MAR-2013,2063.75,2075.65,2010.15,2014.7,194411317,1519.94
20-MAR-2013,2013.8,2021.15,1948.2,1957.15,309900498,1984.13
21-MAR-2013,1958.7,1974.9,1912.15,1916.65,224598954,1747.91
22-MAR-2013,1915.7,1927.4,1890.3,1912.1,215213398,1596.33
25-MAR-2013,1915.85,1948.1,1890.6,1897.9,196904673,1390.29
26-MAR-2013,1896.65,1902.6,1867.95,1880.2,184474809,1313.36
28-MAR-2013,1879.2,1938.65,1867.3,1933,270276517,2156.1
01-APR-2013,1941.05,1967.95,1937.7,1964.25,167044692,1219.53
02-APR-2013,1958,2017.6,1958,2012.8,177182269,1451.88
03-APR-2013,2013.65,2036.2,1978.5,1987.45,258154188,2106.76
04-APR-2013,1975.65,1986.6,1942.05,1947.4,198857283,1654.79
05-APR-2013,1943.6,1963.85,1937.4,1947,150221479,1240.32
08-APR-2013,1947.5,1963.25,1942.5,1946.55,136174898,1128.04
09-APR-2013,1956.3,1977.1,1922.55,1925.55,179474061,1347.76
10-APR-2013,1936.25,1953.95,1905.95,1951.7,210869469,1669.83
11-APR-2013,1963.1,1970.5,1931.85,1950.8,189781010,1583.67
12-APR-2013,1941.05,1970.65,1926.3,1966.8,152501423,1344.34
15-APR-2013,1956.85,1984.95,1956.85,1968.1,149437566,1325.58
16-APR-2013,1957.95,2014.3,1957.95,2011.8,218376368,2012.69
17-APR-2013,2019.3,2045,2003.3,2019.65,231517326,1841.21
18-APR-2013,2020,2045.2,2014.4,2043.2,198549261,1833.17
22-APR-2013,2047.45,2091.8,2036.5,2087.85,266599271,2212.54
23-APR-2013,2090.5,2100.65,2057.2,2076.55,235024301,2011.37
